source,pdf,pages,chars,tables,avg_table_rows,chars_per_page,tables_per_page,repeat_ratio,flags,txt_rel,tbl_rel
alerts,11943_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_FEB-2018.pdf,1,652,1,4.0,652.0,1.0,0.0,,alerts\11943_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_FEB-2018.txt,alerts\11943_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_FEB-2018.tables.json
alerts,11944_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_MAR-2022.pdf,1,912,1,6.0,912.0,1.0,0.059,,alerts\11944_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_MAR-2022.txt,alerts\11944_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_MAR-2022.tables.json
alerts,11945_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_JUNE-2022.pdf,1,427,1,5.0,427.0,1.0,0.125,,alerts\11945_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_JUNE-2022.txt,alerts\11945_NOT_OF_STANDARD_QUALITY_ALERT_FOR_THE_MONTH_OF_JUNE-2022.tables.json
alerts,11955_Samples_declared_NSQ_2017-2023.pdf,5,7827,4,5.0,1565.4,0.8,0.092,,alerts\11955_Samples_declared_NSQ_2017-2023.txt,alerts\11955_Samples_declared_NSQ_2017-2023.tables.json
alerts,12002_ZyCoV-D_SmPc_and_Factsheet.pdf,14,26471,7,11.0,1890.8,0.5,0.041,,alerts\12002_ZyCoV-D_SmPc_and_Factsheet.txt,alerts\12002_ZyCoV-D_SmPc_and_Factsheet.tables.json
alerts,12010_Drug_Alert_for_the_Month_of_August_2024.pdf,8,11918,7,7.43,1489.8,0.88,0.127,,alerts\12010_Drug_Alert_for_the_Month_of_August_2024.txt,alerts\12010_Drug_Alert_for_the_Month_of_August_2024.tables.json
alerts,12011_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_Adulterated_Misbranded_for_the_Month_of_August-.pdf,2,3102,2,7.5,1551.0,1.0,0.1,,alerts\12011_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_Adulterated_Misbranded_for_the_Month_of_August-.txt,alerts\12011_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_Adulterated_Misbranded_for_the_Month_of_August-.tables.json
alerts,12012_State_Drug_Alert_for_the_Month_of_August_2024.pdf,3,3723,2,6.0,1241.0,0.67,0.0,,alerts\12012_State_Drug_Alert_for_the_Month_of_August_2024.txt,alerts\12012_State_Drug_Alert_for_the_Month_of_August_2024.tables.json
alerts,12082_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_September_2024.pdf,2,3279,1,4.0,1639.5,0.5,0.067,,alerts\12082_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_September_2024.txt,alerts\12082_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_September_2024.tables.json
alerts,12083_State_Drug_Alert_for_the_Month_of_September_2024.pdf,5,6701,4,5.25,1340.2,0.8,0.08,,alerts\12083_State_Drug_Alert_for_the_Month_of_September_2024.txt,alerts\12083_State_Drug_Alert_for_the_Month_of_September_2024.tables.json
alerts,12084_Drug_Alert_for_the_Month_of_September_2024.pdf,9,12479,9,6.11,1386.6,1.0,0.042,,alerts\12084_Drug_Alert_for_the_Month_of_September_2024.txt,alerts\12084_Drug_Alert_for_the_Month_of_September_2024.tables.json
alerts,12202_State_Drug_Alert_for_the_Month_of_October_2024.pdf,9,15276,8,5.12,1697.3,0.89,0.154,,alerts\12202_State_Drug_Alert_for_the_Month_of_October_2024.txt,alerts\12202_State_Drug_Alert_for_the_Month_of_October_2024.tables.json
alerts,12203_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_October_2024.pdf,2,2766,1,4.0,1383.0,0.5,0.098,,alerts\12203_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_October_2024.txt,alerts\12203_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_October_2024.tables.json
