"source","filename","pages"
"public_notices","1517_Speical_operation_to_prevent_and_detect_illegal_manufacturing_of_API_formulations_and_Import_of_oxytocin_in_India.pdf","2"
"public_notices","1874_Strict_regulatory_actions_to_prevent_illegal_manufacturing_sale_distribution_and_import_of_Oxytocin_in_India_-All_Port_o.pdf","2"
"public_notices","1875_Strict_regulatory_actions_to_prevent_illegal_manufacturing_sale_distribution_and_import_of_Oxytocin_in_India_-All_ZonalS.pdf","2"
"public_notices","1877_Strict_regulatory_actions_to_prevent_illegal_manufacturing_sale_distribution_and_import_of_Oxytocin_in_India_-All_StateU.pdf","2"
"public_notices","1952_Prohibition_of_328_fixed_dose_combinations_by_the_central_Government_vide_Gazette_notification_nos._S.O._4379_E_to_S.O._.pdf","1"
"public_notices","2240_Consideration_of_the_directions_of_Honble_Supreme_Court_in_the_case_of_294_FDCs_in_respect_of_FDCs_with_require_further_.pdf","8"
"public_notices","2241_Consideration_of_the_directions_of_Honble_Supreme_Court_in_the_case_of_294_FDCs_in_respect_of_FDCs_with_require_further_.pdf","5"
"public_notices","3197_Prohibition_of_80_fixed_Dose_combinations_by_the_Central_Government_vide_Gazette_notification_nos_S.O_180_E_to_S.O_259_E.pdf","1"
"public_notices","4113_Manufacture_and_market_FDC_of_AtenololLosartanHydrochlorthaizide.pdf","4"
"public_notices","4116_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_to_294_FDCs_by_the_DTAB_which_were_l.pdf","2"
"public_notices","413_Notice_regarding_consideration_of_the_directions_of_Honble_SC_India_in_the_Case_of_344_FDCs05_FDCs_probibited_Vide_S.O_N.pdf","1"
"public_notices","416_Notice_regarding_consideration_of_the_directions_of_the_Honble_Supreme_Court_of_India_in_the_Case_of_344_FDCs_05_FDCs_pr.pdf","3"
"public_notices","419_Public_Notice_regarding_Restriction_on_Import_manufacture_sale_and_distribution_of_Oxytocin_to_curb_its_misuse.pdf","2"
"public_notices","4262_Safety_warning_for_SGLT2_Inhibitors.pdf","2"
"public_notices","4267_Procedure_to_be_followed_for_subsequent_applicant_in_respect_of_FDCs_declared_as_rational_by_Pro._Kolate_Committee_and_a.pdf","1"
"public_notices","4274_Condition_for_supply_of_Buprenorphine_2mg0.4mg_sublingual_tablet_and_FDC_of_BuprenorphineNaloxone_sublingual_tablets.pdf","2"
"public_notices","4308_Procedure_to_be_followed_for_subsequent_applicants_in_respect_of_FDCs_declared_as_rational_by_Prof._Kokate_Committee_and.pdf","1"
"public_notices","4309_Consideration_of_Directions_of_Honble_Supreme_Court_of_India_in_the_case_of_294_FDCs-regarding.pdf","14"
"public_notices","4310_Consideration_of_Directions_of_Honble_Supreme_Court_of_India_in_the_case_of_294_FDCs_in_respect_of_FDCs_which_require_fu.pdf","1"
"public_notices","444_NOTICE_regarding_Procedure_to_be_followed_for_subsequent_applicants_in_respect_of_FDCs_declared_as_rational_by_Kokate_Co.pdf","1"
"public_notices","446_NOTICE_regarding_Strict_regulatory_control_over_manufacture_sale_and_distribution_of_oxytocin_and_to_curb_its_misuse.pdf","2"
"public_notices","4521_Notice_regarding_Evaluation_of_Fixed_Dose_Combinations_FDCs_by_DTAB_Sub-Committee_which_were_earlier_considered_as_irrat.pdf","6"
"public_notices","471_Notice_regarding_Examination_for_safety_and_efficacy_of_FDCs_Licensed_for_manufacture_for_sale_in_the_country_without_du.pdf","1"
"public_notices","472_Notice_regarding_Pocedure_to_be_followed_for_subsequent_application_in_respect_of_FDCs_declared_as_rational_by_Kokate_Co.pdf","1"
"public_notices","474_Notice_regarding_grant_of_licence_for_manufacture_of_new_drugs_including_FDCs_without_prior_approval_from_DCG_I.pdf","1"
"public_notices","481_Public_Notice_regarding_Strict_regulatory_control_over_manufacture_sale_and_distribution_of_oxytocin_and_to_curb_its_mis.pdf","1"
"public_notices","482_Office_memorandum_regarding_Strict_regulatory_control_over_manufacture_sale_and_distribution_of_oxytocin_and_to_curb_its.pdf","1"
"public_notices","4852_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_to_294_FDCs_by_the_DTAB_which_were_l.pdf","2"
"public_notices","4859_Notice_regarding_Consideration_of_the_directions_of_Honble_Supreme_Court_of_India_in_case_of_294_FDCs.pdf","1"
"public_notices","485_Notice_regarding_Procedure_to_be_followed_for_subsequent_applicant_in_respect_of_FDCs_declared_as_rational_by_Prof._Koka.pdf","2"
"public_notices","486_Notice_regarding_Examination_for_safety_and_Efficacy_of_FDCs_licensed_for_manufacture_for_sale_in_country_without_due_ap.pdf","1"
"public_notices","5010_Manufacturing_and_marketing_of_FDC_of_Aceclofenac_100mg_Drotaverine_Hydrochloride_80mg_tablet-regarding.pdf","1"
"public_notices","509_Notice_Order_regarding_Oseltamivir_and_Zanamivir.pdf","4"
"public_notices","512_Office_memorandum_regarding_approval_of_the_safety_and_efficacy_of_FDCs.pdf","1"
"public_notices","513_Notice_Order_regarding_Examination_of_Safety_and_efficacy_of_FDCs_licensed_for_manufacture_for_sale_in_the_country_witho.pdf","1"
"public_notices","523_Notice_regarding_Examination_for_safety_and_efficacy_of_FDCs_licensed_for_manufacture_for_sale_in_the_country_without_du.pdf","1"
"public_notices","535_Notice_regarding_Examination_for_safety_and_Efficacy_of_FDCs.pdf","1"
"public_notices","538_Alert_Notice.pdf","1"
"public_notices","5546_Notice_Pathway_for_subsequent_manufacture_of_category_d_FDCs_as_per_Prof._Kokate_Committee_Report-extenon_in_time_limit_.pdf","1"
"public_notices","557_Notice_dated_12.05.2016_regarding_FDC_Court_cases_pending_before_the_Delhi_High_Court_alongwith_notification_wise_list_o.pdf","37"
"public_notices","5589_Notice_Consideration_of_the_direction_of_Honble_Supreme_Court_of_India_in_the_case_of_294_FDCs_regarding.pdf","1"
"public_notices","5795_Notice_regarding_Approval_of_FDCs_Containing_new_drugs.pdf","2"
"public_notices","585_Prohibition_of_Fixed_Dose_Combination_of_drugs_for_human_use_under_Section_26A_of_Drugs_Cosmetics_Act_1940.pdf","1"
"public_notices","6466_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_to_294_FDCs_by_the_DTAB_which_were_l.pdf","4"
"public_notices","730_Office_Order_dated_03.07.2014_-_Consideration_of_banning_of_a_marketed_drug.pdf","1"
"public_notices","7457_Notice_Evaluation_of_Certain_pre_1988_permitted_FDC_de_novo_for_manufacture_of_Sale_in_the_Country_without_due_approval_.pdf","3"
